Date,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient
2010-04-28,22.25,22.25,21.7,22.0,10.659053760399999,5244400.0,0.0,1.0
2010-04-29,22.0,23.25,21.9,23.0,11.143556204100001,8773600.0,0.0,1.0
2010-04-30,22.95,23.0,22.25,22.3,10.8044044935,1644400.0,0.0,1.0
2010-05-03,22.75,22.95,22.65,22.8,11.0466557154,3302700.0,0.0,1.0
2010-05-04,22.8,22.8,21.5,21.5,10.4168025386,2276500.0,0.0,1.0
2010-05-05,22.0,22.0,20.0,20.59,9.97590531488,6999200.0,0.0,1.0
2010-05-06,20.5,20.55,18.45,19.45,9.42357252911,8029400.0,0.0,1.0
2010-05-07,19.5,19.55,17.9,18.6,9.011745452000001,3881500.0,0.0,1.0
2010-05-10,19.75,19.85,18.7,19.01,9.2103914539,3861100.0,0.0,1.0
2010-05-11,18.75,19.28,18.75,18.9,9.1570961851,2626900.0,0.0,1.0
2010-05-12,19.2,20.04,19.2,19.8,9.593148384389998,5714300.0,0.0,1.0
2010-05-13,19.85,20.1,19.6,19.65,9.520473017839999,2475900.0,0.0,1.0
2010-05-14,19.3,19.4,18.75,18.75,9.08442081855,3133400.0,0.0,1.0
2010-05-17,19.0,19.2,18.7,18.85,9.13287106292,10117000.0,0.0,1.0
2010-05-18,19.05,19.32,18.25,18.79,9.103800916299999,6219800.0,0.0,1.0
2010-05-19,18.9,18.93,17.55,17.7,8.57569325271,6227700.0,0.0,1.0
2010-05-20,17.14,17.14,16.2,16.9,8.188091297789999,10248400.0,0.0,1.0
2010-05-21,16.35,17.12,16.25,16.55,8.018515442510001,4560800.0,0.0,1.0
2010-05-24,16.7,17.15,16.68,16.9,8.188091297789999,1761300.0,0.0,1.0
2010-05-25,16.79,16.79,16.2,16.57,8.02820549138,4649600.0,0.0,1.0
2010-05-26,16.99,17.4,16.8,17.15,8.3092169087,2079300.0,0.0,1.0
2010-05-27,17.65,18.0,17.65,17.9,8.67259374144,3156100.0,0.0,1.0
2010-05-28,17.9,17.9,16.25,17.77,8.60960842377,222200.0,0.0,1.0
2010-06-01,17.65,17.8,17.2,17.5,8.47879276398,900800.0,0.0,1.0
2010-06-02,17.61,17.66,17.22,17.33,8.396427348560001,829900.0,0.0,1.0
2010-06-03,17.45,17.5,17.15,17.33,8.396427348560001,2173600.0,0.0,1.0
2010-06-04,17.05,17.1,16.75,17.05,8.260766664339998,3147200.0,0.0,1.0
2010-06-07,17.15,17.2,16.74,16.89,8.18324627335,2826800.0,0.0,1.0
2010-06-08,17.03,17.03,16.5,16.75,8.11541593124,2037700.0,0.0,1.0
2010-06-09,16.79,17.1,16.7,16.79,8.13479602899,1410200.0,0.0,1.0
2010-06-10,16.97,17.07,16.85,16.97,8.22200646884,1401000.0,0.0,1.0
2010-06-11,16.94,17.19,16.94,17.14,8.30437188427,452500.0,0.0,1.0
2010-06-14,17.19,17.58,17.19,17.49,8.47394773955,1008500.0,0.0,1.0
2010-06-15,17.48,18.0,17.35,17.97,8.7065089125,1974300.0,0.0,1.0
2010-06-16,17.93,17.97,17.63,17.64,8.54662310609,1041500.0,0.0,1.0
2010-06-17,17.68,17.75,17.14,17.3,8.38189227525,1090600.0,0.0,1.0
2010-06-18,17.3299,17.35,17.15,17.21,8.338287055319999,1373700.0,0.0,1.0
2010-06-21,17.45,17.53,17.09,17.1,8.28499178652,514100.0,0.0,1.0
2010-06-22,17.09,17.1,16.8,16.84,8.15902115117,1502900.0,0.0,1.0
2010-06-23,16.9,16.95,16.6,16.65,8.066965686869999,1125700.0,0.0,1.0
2010-06-24,16.69,16.92,16.35,16.8,8.13964105342,2151600.0,0.0,1.0
2010-06-25,16.9,16.92,16.7,16.82,8.1493311023,612000.0,0.0,1.0
2010-06-28,16.87,16.87,16.7,16.87,8.17355622448,355800.0,0.0,1.0
2010-06-29,16.74,16.74,16.25,16.25,7.873164709410001,2561000.0,0.0,1.0
2010-06-30,16.27,16.5,16.15,16.15,7.82471446505,1534100.0,0.0,1.0
2010-07-01,16.2399,16.3,15.4,15.55,7.53401299885,4006100.0,0.0,1.0
2010-07-02,15.58,15.69,15.4,15.48,7.5000978277999995,231700.0,0.0,1.0
2010-07-06,15.5,15.59,14.9,15.06,7.29660680146,833700.0,0.0,1.0
2010-07-07,15.05,15.15,14.86,15.0,7.26753665484,2137200.0,0.0,1.0
2010-07-08,14.95,15.15,14.95,15.05,7.2917617770200005,2422200.0,0.0,1.0
2010-07-09,15.1,16.02,15.0,15.8,7.65513860977,1478700.0,0.0,1.0
2010-07-12,15.82,16.02,15.8,15.82,7.664828658639999,786100.0,0.0,1.0
2010-07-13,15.83,16.5,15.83,16.4,7.9458400759600005,1647300.0,0.0,1.0
2010-07-14,16.4,16.45,16.25,16.4,7.9458400759600005,1537200.0,0.0,1.0
2010-07-15,16.43,16.43,16.0,16.37,7.93130500265,905900.0,0.0,1.0
2010-07-16,16.3,16.3,16.0,16.2,7.84893958723,624700.0,0.0,1.0
2010-07-19,16.175,16.7,16.11,16.45,7.970065198139999,497300.0,0.0,1.0
2010-07-20,16.44,16.44,16.15,16.19,7.84409456279,1244700.0,0.0,1.0
2010-07-21,16.19,16.3,16.19,16.24,7.86831968498,1801200.0,0.0,1.0
